epoch,val_loss,val_auc,val_f1,train_loss
724,1.1119341850280762,0.8905868530273438,0.10000000149011612,1.5246578454971313
1449,1.1000161170959473,0.8805037140846252,0.13333334028720856,0.6648231744766235
2174,1.404372215270996,0.8841682076454163,0.1701534241437912,0.46182459592819214
2899,1.3772084712982178,0.8738871812820435,0.1720733493566513,0.4354681968688965
3624,1.4005725383758545,0.8592804074287415,0.13118278980255127,0.36439627408981323
4349,1.5069137811660767,0.8911107182502747,0.18292683362960815,0.3288712799549103
5074,1.8059728145599365,0.8921386003494263,0.21698112785816193,0.2525106370449066
5799,1.8680998086929321,0.887568473815918,0.21729490160942078,0.18386250734329224
6524,2.0702638626098633,0.8758265376091003,0.22760289907455444,0.18272800743579865
7249,2.067471981048584,0.8875929117202759,0.2639296054840088,0.16859835386276245
7974,2.354640007019043,0.8747532367706299,0.2638888955116272,0.1441192328929901
8699,2.8845162391662598,0.8689189553260803,0.23963133990764618,0.09853775799274445
